model,route,route_type,time_slot,start_hour,rep,fuel_total,fuel_drive,fuel_idle,travel_time,wait_time,distance,wait_count,reached,steps,n_left,n_right,n_straight,path
shortest_dijkstra,od2_dogok_yeongdong,long,off_peak,7.0,1,1408.9724,757.8689,651.1034,820.771,1488.3647,5773.7,25,True,54,5,3,46,338934->338933->338631->339979->340332->338581->338269->338705->339116->339138->338582->338268->338262->339922->340140->339002->338922->646291->338226->339093->339128->341549->342639->563096->342115->343710->341560->341518->341558->563191->341512->646737->341511->342869->341510->343158->343160->344191->344189->342755->341769->341499->341492->343516->343774->563132->646319->344219->341546->343780->342515->342812->341263->341711->341712
shortest_dijkstra,od2_dogok_yeongdong,long,off_peak,7.0,2,1403.3734,760.5287,642.8447,836.222,1469.4859,5773.7,25,True,54,5,3,46,338934->338933->338631->339979->340332->338581->338269->338705->339116->339138->338582->338268->338262->339922->340140->339002->338922->646291->338226->339093->339128->341549->342639->563096->342115->343710->341560->341518->341558->563191->341512->646737->341511->342869->341510->343158->343160->344191->344189->342755->341769->341499->341492->343516->343774->563132->646319->344219->341546->343780->342515->342812->341263->341711->341712
shortest_dijkstra,od2_dogok_yeongdong,long,off_peak,7.0,3,1389.5721,731.1286,658.4436,804.0714,1505.1435,5773.7,25,True,54,5,3,46,338934->338933->338631->339979->340332->338581->338269->338705->339116->339138->338582->338268->338262->339922->340140->339002->338922->646291->338226->339093->339128->341549->342639->563096->342115->343710->341560->341518->341558->563191->341512->646737->341511->342869->341510->343158->343160->344191->344189->342755->341769->341499->341492->343516->343774->563132->646319->344219->341546->343780->342515->342812->341263->341711->341712
shortest_dijkstra,od2_dogok_yeongdong,long,off_peak,7.0,4,1398.1402,772.0731,626.067,876.2163,1431.1337,5773.7,26,True,54,5,3,46,338934->338933->338631->339979->340332->338581->338269->338705->339116->339138->338582->338268->338262->339922->340140->339002->338922->646291->338226->339093->339128->341549->342639->563096->342115->343710->341560->341518->341558->563191->341512->646737->341511->342869->341510->343158->343160->344191->344189->342755->341769->341499->341492->343516->343774->563132->646319->344219->341546->343780->342515->342812->341263->341711->341712
shortest_dijkstra,od2_dogok_yeongdong,long,off_peak,7.0,5,1391.3406,740.6583,650.6823,819.9972,1487.402,5773.7,26,True,54,5,3,46,338934->338933->338631->339979->340332->338581->338269->338705->339116->339138->338582->338268->338262->339922->340140->339002->338922->646291->338226->339093->339128->341549->342639->563096->342115->343710->341560->341518->341558->563191->341512->646737->341511->342869->341510->343158->343160->344191->344189->342755->341769->341499->341492->343516->343774->563132->646319->344219->341546->343780->342515->342812->341263->341711->341712
shortest_dijkstra,od2_dogok_yeongdong,long,off_peak,7.0,6,1343.2846,757.1727,586.1119,789.5932,1339.7997,5773.7,24,True,54,5,3,46,338934->338933->338631->339979->340332->338581->338269->338705->339116->339138->338582->338268->338262->339922->340140->339002->338922->646291->338226->339093->339128->341549->342639->563096->342115->343710->341560->341518->341558->563191->341512->646737->341511->342869->341510->343158->343160->344191->344189->342755->341769->341499->341492->343516->343774->563132->646319->344219->341546->343780->342515->342812->341263->341711->341712
shortest_dijkstra,od2_dogok_yeongdong,long,off_peak,7.0,7,1427.9382,777.8159,650.1223,820.8948,1486.1218,5773.7,26,True,54,5,3,46,338934->338933->338631->339979->340332->338581->338269->338705->339116->339138->338582->338268->338262->339922->340140->339002->338922->646291->338226->339093->339128->341549->342639->563096->342115->343710->341560->341518->341558->563191->341512->646737->341511->342869->341510->343158->343160->344191->344189->342755->341769->341499->341492->343516->343774->563132->646319->344219->341546->343780->342515->342812->341263->341711->341712
shortest_dijkstra,od2_dogok_yeongdong,long,off_peak,7.0,8,1406.8291,756.3967,650.4324,832.5206,1486.8308,5773.7,27,True,54,5,3,46,338934->338933->338631->339979->340332->338581->338269->338705->339116->339138->338582->338268->338262->339922->340140->339002->338922->646291->338226->339093->339128->341549->342639->563096->342115->343710->341560->341518->341558->563191->341512->646737->341511->342869->341510->343158->343160->344191->344189->342755->341769->341499->341492->343516->343774->563132->646319->344219->341546->343780->342515->342812->341263->341711->341712
shortest_dijkstra,od2_dogok_yeongdong,long,off_peak,7.0,9,1382.6268,721.4609,661.1659,800.3654,1511.3665,5773.7,27,True,54,5,3,46,338934->338933->338631->339979->340332->338581->338269->338705->339116->339138->338582->338268->338262->339922->340140->339002->338922->646291->338226->339093->339128->341549->342639->563096->342115->343710->341560->341518->341558->563191->341512->646737->341511->342869->341510->343158->343160->344191->344189->342755->341769->341499->341492->343516->343774->563132->646319->344219->341546->343780->342515->342812->341263->341711->341712
shortest_dijkstra,od2_dogok_yeongdong,long,off_peak,7.0,10,1391.1115,753.3414,637.77,848.059,1457.8857,5773.7,27,True,54,5,3,46,338934->338933->338631->339979->340332->338581->338269->338705->339116->339138->338582->338268->338262->339922->340140->339002->338922->646291->338226->339093->339128->341549->342639->563096->342115->343710->341560->341518->341558->563191->341512->646737->341511->342869->341510->343158->343160->344191->344189->342755->341769->341499->341492->343516->343774->563132->646319->344219->341546->343780->342515->342812->341263->341711->341712
shortest_dijkstra,od2_dogok_yeongdong,long,off_peak,7.0,11,1408.6616,742.0542,666.6074,782.8301,1523.8053,5773.7,26,True,54,5,3,46,338934->338933->338631->339979->340332->338581->338269->338705->339116->339138->338582->338268->338262->339922->340140->339002->338922->646291->338226->339093->339128->341549->342639->563096->342115->343710->341560->341518->341558->563191->341512->646737->341511->342869->341510->343158->343160->344191->344189->342755->341769->341499->341492->343516->343774->563132->646319->344219->341546->343780->342515->342812->341263->341711->341712
shortest_dijkstra,od2_dogok_yeongdong,long,off_peak,7.0,12,1469.599,721.6285,747.9704,777.6904,1709.7939,5773.7,27,True,54,5,3,46,338934->338933->338631->339979->340332->338581->338269->338705->339116->339138->338582->338268->338262->339922->340140->339002->338922->646291->338226->339093->339128->341549->342639->563096->342115->343710->341560->341518->341558->563191->341512->646737->341511->342869->341510->343158->343160->344191->344189->342755->341769->341499->341492->343516->343774->563132->646319->344219->341546->343780->342515->342812->341263->341711->341712
shortest_dijkstra,od2_dogok_yeongdong,long,off_peak,7.0,13,1386.8742,722.7535,664.1206,792.4881,1518.1207,5773.7,26,True,54,5,3,46,338934->338933->338631->339979->340332->338581->338269->338705->339116->339138->338582->338268->338262->339922->340140->339002->338922->646291->338226->339093->339128->341549->342639->563096->342115->343710->341560->341518->341558->563191->341512->646737->341511->342869->341510->343158->343160->344191->344189->342755->341769->341499->341492->343516->343774->563132->646319->344219->341546->343780->342515->342812->341263->341711->341712
shortest_dijkstra,od2_dogok_yeongdong,long,off_peak,7.0,14,1407.8684,788.6975,619.171,890.7358,1415.3698,5773.7,26,True,54,5,3,46,338934->338933->338631->339979->340332->338581->338269->338705->339116->339138->338582->338268->338262->339922->340140->339002->338922->646291->338226->339093->339128->341549->342639->563096->342115->343710->341560->341518->341558->563191->341512->646737->341511->342869->341510->343158->343160->344191->344189->342755->341769->341499->341492->343516->343774->563132->646319->344219->341546->343780->342515->342812->341263->341711->341712
shortest_dijkstra,od2_dogok_yeongdong,long,off_peak,7.0,15,1413.2099,756.4059,656.804,805.8568,1501.3957,5773.7,26,True,54,5,3,46,338934->338933->338631->339979->340332->338581->338269->338705->339116->339138->338582->338268->338262->339922->340140->339002->338922->646291->338226->339093->339128->341549->342639->563096->342115->343710->341560->341518->341558->563191->341512->646737->341511->342869->341510->343158->343160->344191->344189->342755->341769->341499->341492->343516->343774->563132->646319->344219->341546->343780->342515->342812->341263->341711->341712
