model,route,route_type,time_slot,start_hour,rep,fuel_total,fuel_drive,fuel_idle,travel_time,wait_time,distance,wait_count,reached,steps,n_left,n_right,n_straight,path
shortest_dijkstra,gangnam_main,long,peak,8.0,1,284.3006,243.1564,41.1442,177.5686,94.052,1720.3,2,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,2,347.5698,261.2749,86.2949,217.7933,197.2624,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,3,332.646,249.2647,83.3813,223.115,190.6023,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,4,334.7365,241.5036,93.2329,202.5168,213.1222,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,5,334.8068,254.2641,80.5427,232.4564,184.1135,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,6,344.0013,247.0991,96.9022,194.1346,221.5099,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,7,344.6486,261.8083,82.8402,223.3325,189.3654,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,8,337.7863,247.6222,90.1641,218.5548,206.1072,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,9,335.9951,252.0114,83.9837,227.3611,191.9793,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,10,263.52,231.8109,31.709,196.4819,72.4841,1720.3,2,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
