model,route,route_type,time_slot,start_hour,rep,fuel_total,fuel_drive,fuel_idle,travel_time,wait_time,distance,wait_count,reached,steps,n_left,n_right,n_straight,path
shortest_dijkstra,gangnam_main,long,peak,8.0,1,340.5876,276.0307,64.5569,277.7295,147.5714,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,2,333.2305,246.7136,86.5169,215.3428,197.7701,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,3,327.6238,237.4581,90.1657,208.0227,206.1108,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,4,330.0349,249.4375,80.5973,234.1595,184.2384,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,5,328.2576,252.9489,75.3087,246.2138,172.149,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,6,335.3327,268.8806,66.4521,263.1679,151.9037,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,7,290.3595,254.9773,35.3822,203.9468,80.8805,1720.3,2,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,8,332.1403,253.6255,78.5148,240.9153,179.4779,1720.3,2,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,9,341.0343,252.7789,88.2553,212.3735,201.7438,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,10,343.9001,258.4728,85.4272,220.4906,195.2791,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,11,339.9288,273.1477,66.7811,261.3747,152.6556,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,12,347.9915,257.7691,90.2224,209.458,206.2403,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,13,333.98,251.3043,82.6757,230.5453,188.9893,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,14,274.9638,242.4922,32.4716,198.1736,74.2272,1720.3,1,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,15,350.5894,266.7786,83.8108,219.1685,191.5841,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,16,357.5364,260.1918,97.3446,194.1639,222.5211,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,17,338.175,257.1892,80.9859,231.1902,185.1265,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
shortest_dijkstra,gangnam_main,long,peak,8.0,18,332.0697,243.9433,88.1265,212.0187,201.4493,1720.3,3,False,14,0,1,13,111357->111365->338931->340027->613620->613748->339941->646276->646278->646249->338395->613788->338611->613666->338773
