model,route,route_type,time_slot,start_hour,rep,fuel_total,fuel_drive,fuel_idle,travel_time,wait_time,distance,wait_count,reached,steps,n_left,n_right,n_straight,path
shortest_dijkstra,od1_sinnonhyeon_suseo,long,off_peak,7.0,1,1630.3866,1228.7238,401.6628,1124.2473,918.1656,9210.2,16,True,80,2,5,73,342695->342700->343100->342865->340641->340704->341588->343777->340703->342671->340702->341790->341589->340701->563070->340700->341581->341792->342664->341793->341587->341794->342634->340699->342632->343072->341795->341544->341796->343669->341798->342622->341797->341771->341545->341772->646612->341541->340708->646354->342633->342626->344210->341542->341773->341547->563166->341548->340707->343666->343075->341543->588052->341499->344500->342607->587988->342821->341768->646932->341500->341501->343078->647029->647031->647028->647033->342043->338909->338898->338897->340035->338396->338397->338402->338405->338404->338391->338773->613666->613667
shortest_dijkstra,od1_sinnonhyeon_suseo,long,off_peak,7.0,2,1584.7282,1182.5245,402.2037,1081.6904,919.4019,9210.2,15,True,80,2,5,73,342695->342700->343100->342865->340641->340704->341588->343777->340703->342671->340702->341790->341589->340701->563070->340700->341581->341792->342664->341793->341587->341794->342634->340699->342632->343072->341795->341544->341796->343669->341798->342622->341797->341771->341545->341772->646612->341541->340708->646354->342633->342626->344210->341542->341773->341547->563166->341548->340707->343666->343075->341543->588052->341499->344500->342607->587988->342821->341768->646932->341500->341501->343078->647029->647031->647028->647033->342043->338909->338898->338897->340035->338396->338397->338402->338405->338404->338391->338773->613666->613667
shortest_dijkstra,od1_sinnonhyeon_suseo,long,off_peak,7.0,3,1498.1819,1188.1777,310.0042,1111.1485,708.6421,9210.2,14,True,80,2,5,73,342695->342700->343100->342865->340641->340704->341588->343777->340703->342671->340702->341790->341589->340701->563070->340700->341581->341792->342664->341793->341587->341794->342634->340699->342632->343072->341795->341544->341796->343669->341798->342622->341797->341771->341545->341772->646612->341541->340708->646354->342633->342626->344210->341542->341773->341547->563166->341548->340707->343666->343075->341543->588052->341499->344500->342607->587988->342821->341768->646932->341500->341501->343078->647029->647031->647028->647033->342043->338909->338898->338897->340035->338396->338397->338402->338405->338404->338391->338773->613666->613667
shortest_dijkstra,od1_sinnonhyeon_suseo,long,off_peak,7.0,4,1532.051,1184.5907,347.4603,1106.6629,794.2635,9210.2,15,True,80,2,5,73,342695->342700->343100->342865->340641->340704->341588->343777->340703->342671->340702->341790->341589->340701->563070->340700->341581->341792->342664->341793->341587->341794->342634->340699->342632->343072->341795->341544->341796->343669->341798->342622->341797->341771->341545->341772->646612->341541->340708->646354->342633->342626->344210->341542->341773->341547->563166->341548->340707->343666->343075->341543->588052->341499->344500->342607->587988->342821->341768->646932->341500->341501->343078->647029->647031->647028->647033->342043->338909->338898->338897->340035->338396->338397->338402->338405->338404->338391->338773->613666->613667
shortest_dijkstra,od1_sinnonhyeon_suseo,long,off_peak,7.0,5,1546.5389,1219.9454,326.5936,1086.1042,746.5639,9210.2,14,True,80,2,5,73,342695->342700->343100->342865->340641->340704->341588->343777->340703->342671->340702->341790->341589->340701->563070->340700->341581->341792->342664->341793->341587->341794->342634->340699->342632->343072->341795->341544->341796->343669->341798->342622->341797->341771->341545->341772->646612->341541->340708->646354->342633->342626->344210->341542->341773->341547->563166->341548->340707->343666->343075->341543->588052->341499->344500->342607->587988->342821->341768->646932->341500->341501->343078->647029->647031->647028->647033->342043->338909->338898->338897->340035->338396->338397->338402->338405->338404->338391->338773->613666->613667
shortest_dijkstra,od1_sinnonhyeon_suseo,long,off_peak,7.0,6,1525.5472,1178.0913,347.4559,1022.2164,794.2532,9210.2,14,True,80,2,5,73,342695->342700->343100->342865->340641->340704->341588->343777->340703->342671->340702->341790->341589->340701->563070->340700->341581->341792->342664->341793->341587->341794->342634->340699->342632->343072->341795->341544->341796->343669->341798->342622->341797->341771->341545->341772->646612->341541->340708->646354->342633->342626->344210->341542->341773->341547->563166->341548->340707->343666->343075->341543->588052->341499->344500->342607->587988->342821->341768->646932->341500->341501->343078->647029->647031->647028->647033->342043->338909->338898->338897->340035->338396->338397->338402->338405->338404->338391->338773->613666->613667
shortest_dijkstra,od1_sinnonhyeon_suseo,long,off_peak,7.0,7,1511.1396,1164.6075,346.532,1049.7624,792.1415,9210.2,15,True,80,2,5,73,342695->342700->343100->342865->340641->340704->341588->343777->340703->342671->340702->341790->341589->340701->563070->340700->341581->341792->342664->341793->341587->341794->342634->340699->342632->343072->341795->341544->341796->343669->341798->342622->341797->341771->341545->341772->646612->341541->340708->646354->342633->342626->344210->341542->341773->341547->563166->341548->340707->343666->343075->341543->588052->341499->344500->342607->587988->342821->341768->646932->341500->341501->343078->647029->647031->647028->647033->342043->338909->338898->338897->340035->338396->338397->338402->338405->338404->338391->338773->613666->613667
shortest_dijkstra,od1_sinnonhyeon_suseo,long,off_peak,7.0,8,1530.9278,1194.1605,336.7673,1090.6407,769.8202,9210.2,15,True,80,2,5,73,342695->342700->343100->342865->340641->340704->341588->343777->340703->342671->340702->341790->341589->340701->563070->340700->341581->341792->342664->341793->341587->341794->342634->340699->342632->343072->341795->341544->341796->343669->341798->342622->341797->341771->341545->341772->646612->341541->340708->646354->342633->342626->344210->341542->341773->341547->563166->341548->340707->343666->343075->341543->588052->341499->344500->342607->587988->342821->341768->646932->341500->341501->343078->647029->647031->647028->647033->342043->338909->338898->338897->340035->338396->338397->338402->338405->338404->338391->338773->613666->613667
shortest_dijkstra,od1_sinnonhyeon_suseo,long,off_peak,7.0,9,1514.0116,1168.8988,345.1128,1047.356,788.8972,9210.2,14,True,80,2,5,73,342695->342700->343100->342865->340641->340704->341588->343777->340703->342671->340702->341790->341589->340701->563070->340700->341581->341792->342664->341793->341587->341794->342634->340699->342632->343072->341795->341544->341796->343669->341798->342622->341797->341771->341545->341772->646612->341541->340708->646354->342633->342626->344210->341542->341773->341547->563166->341548->340707->343666->343075->341543->588052->341499->344500->342607->587988->342821->341768->646932->341500->341501->343078->647029->647031->647028->647033->342043->338909->338898->338897->340035->338396->338397->338402->338405->338404->338391->338773->613666->613667
shortest_dijkstra,od1_sinnonhyeon_suseo,long,off_peak,7.0,10,1510.9355,1189.3478,321.5877,1111.8896,735.1208,9210.2,15,True,80,2,5,73,342695->342700->343100->342865->340641->340704->341588->343777->340703->342671->340702->341790->341589->340701->563070->340700->341581->341792->342664->341793->341587->341794->342634->340699->342632->343072->341795->341544->341796->343669->341798->342622->341797->341771->341545->341772->646612->341541->340708->646354->342633->342626->344210->341542->341773->341547->563166->341548->340707->343666->343075->341543->588052->341499->344500->342607->587988->342821->341768->646932->341500->341501->343078->647029->647031->647028->647033->342043->338909->338898->338897->340035->338396->338397->338402->338405->338404->338391->338773->613666->613667
